,country,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,
0,US,0.597082902,0.571115934,0.617995909,0.616103875,0.661655401,0.663007638,0.774899268,0.869418593,0.765131692,0.913711203,0.896071744,0.969681721,0.964991894,0.945416485,0.852995963,0.309367578,0.317795726,0.407348921,0.57247,0.597167073,0.567619149,0.609516525,0.61300965,0.660297675,0.617911737,0.568889043,0.743957021,0.792386853,0.839021632,0.93320244,1,0.985258974,0.870611635,0.934680934,546502
1,FR,0.814325207,0.775018849,0.898743403,0.956773059,1,0.908595124,0.945689872,0.994370445,0.95627042,0.988866549,0.860366926,0.836491581,0.837119879,0.833048505,0.553908017,0.074692134,0.099673285,0.182860015,0.414475999,0.508569992,0.46572003,0.417868811,0.247248052,0.315481277,0.339859261,0.264538829,0.292937924,0.297587334,0.364739884,0.487207841,0.729404373,0.748102538,0.598793667,0.649057552,39790
2,CN,0.408317121,0.399353808,0.405711506,0.520810172,0.553849361,0.655746248,0.708900778,0.910783769,0.850403002,0.890598944,0.852174819,0.809963869,0.749965258,0.243225403,0.384866593,0.454314897,0.596650917,0.694899944,0.73721512,0.561770428,0.739612285,0.840397443,0.800201501,0.88114925,0.71122846,0.558608949,1,0.7317607,0.625347415,0.512194275,0.565730962,0.399145359,0.233775709,0.427355475,28784
3,BR,0.92358474,0.823099842,0.870538062,0.763626804,0.702985336,0.669393001,0.788280657,0.678506748,0.631652743,0.770929485,0.736811357,0.812175031,0.763685225,1,0.798329146,0.097972776,0.118186598,0.153589998,0.245077993,0.313255828,0.433195069,0.565694923,0.598995151,0.716247006,0.71683122,0.553309575,0.462873167,0.373079395,0.478121166,0.551556932,0.705731144,0.698019513,0.558509085,0.303674709,17117
4,CA,0.456813632,0.497070456,0.629876471,0.644865973,0.703066257,0.635100825,0.693325521,0.786338558,0.786777989,0.868487867,0.858625067,0.945705776,1,0.968775939,0.841877838,0.185391338,0.179678727,0.259557639,0.352131244,0.378106538,0.353278649,0.366241883,0.338045017,0.385283922,0.337117328,0.253112641,0.27444949,0.29146526,0.295322494,0.390361799,0.566207705,0.727186173,0.70216298,0.787241834,40962
5,CH,0.844758065,0.805051523,0.924899194,0.880096326,0.951276882,0.955197133,1,0.96578181,0.912466398,0.963037634,0.81546819,0.865647401,0.875504032,0.88250448,0.550459229,0.061771953,0.102766577,0.201276882,0.411738351,0.480958781,0.390737007,0.350302419,0.223398297,0.285170251,0.253416219,0.196012545,0.230062724,0.291386649,0.327676971,0.440244176,0.688956093,0.728830645,0.662802419,0.706989247,17856
6,DE,0.734911127,0.736509304,0.812513029,0.834498381,0.920577567,0.909404228,0.96406187,0.953847437,0.935225204,1,0.813193991,0.771933238,0.784593577,0.7943633,0.529371708,0.131773142,0.154675709,0.221604569,0.38794002,0.447378295,0.432563892,0.408758008,0.286518337,0.293828259,0.259529997,0.219297636,0.279402977,0.323220812,0.354392206,0.471364843,0.670358686,0.715927568,0.689745265,0.75219923,71957
7,IN,0.942808805,0.78572262,0.811663815,0.782397324,0.839219042,0.86107654,0.834513068,0.89720753,0.793403858,0.870838519,0.887328874,0.968205507,1,0.95614888,0.719469508,0.031600031,0.0863799,0.264487399,0.290856409,0.311488799,0.331926727,0.507195084,0.582860143,0.686858276,0.738643435,0.681374456,0.721569695,0.588343964,0.31946173,0.352364655,0.479250933,0.545892968,0.553146391,0.608567984,51424
8,JP,0.633587028,0.550959629,0.61978822,0.588980807,0.6,0.546922568,0.674056916,0.678358703,0.672898743,0.654698875,0.788318994,0.618663137,0.963699537,0.820946393,0.674818001,0.349437459,0.20691595,0.319126406,0.486929186,0.677763071,0.523792191,0.58318994,0.699636003,0.747584381,0.542686962,0.421707478,0.680972866,0.816015884,0.746856386,0.763534083,0.891297154,1,0.736333554,0.866446062,30220
